E사지	90	0.1347305389221557
사지 	91	0.8272727272727273
지 김	32	0.09221902017291066
 김S	839	0.9940758293838863
E물생	2	0.012195121951219513
물생 	3	0.42857142857142855
생 섬	1	0.013333333333333334
 섬S	29	1.0
E개고	1	0.024390243902439025
개고 	1	1.0
고 뒤	9	0.06164383561643835
 뒤S	1268	1.0
E수업	3	0.0027881040892193307
수업기	3	0.75
업기 	63	0.5163934426229508
기 용	1	0.003472222222222222
 용이	3	0.05263157894736842
용이S	7	0.3684210526315789
E자계	145	0.19489247311827956
자계관	147	0.9932432432432432
계관 	156	0.6610169491525424
관 군	47	0.1501597444089457
 군S	474	0.9442231075697212
E달 	487	0.9206049149338374
달 음	409	0.7100694444444444
 음다	701	0.9115734720416124
음다S	696	0.9169960474308301
E회원	46	0.15593220338983052
회원위	79	0.9875
원위의	4	0.009708737864077669
위의심	3	0.6
의심준	1	0.14285714285714285
심준표	1	1.0
준표세	1	0.3333333333333333
표세과	1	1.0
세과세	2	0.2857142857142857
과세방	1	0.3333333333333333
세방지	1	1.0
방지 	7	0.1346153846153846
지 시	2	0.005763688760806916
 시S	351	0.7134146341463414
E세획	1	0.01282051282051282
세획계	1	1.0
획계 	8	0.22857142857142856
계 시	1	0.01639344262295082
 시도	8	0.016260162601626018
시도S	8	0.2962962962962963
E담부	26	0.37142857142857144
담부 	35	0.7142857142857143
부 세	32	0.0903954802259887
 세S	36	0.6101694915254238
E법망	3	0.011764705882352941
법망신	6	0.8571428571428571
망신통	6	1.0
신통 	26	0.7647058823529411
통 보	9	0.08737864077669903
 보정	15	0.14563106796116504
보정S	18	0.2647058823529412
E사판	32	0.04790419161676647
사판 	22	0.5116279069767442
판 서	4	0.041237113402061855
 서S	65	0.6842105263157895
E의합	16	0.11188811188811189
의합법	2	0.07142857142857142
합법거	1	0.5
법거선	2	1.0
거선 	66	0.3793103448275862
선 전	3	0.011764705882352941
 전S	360	0.6976744186046512
의합야	1	0.03571428571428571
합야여	1	0.3333333333333333
야여전	1	0.09090909090909091
여전 	2	0.6666666666666666
전 달	7	0.007675438596491228
 달S	45	0.5172413793103449
E장단	21	0.011064278187565859
장단보	1	0.045454545454545456
단보공	1	1.0
보공 	3	0.5
공 이	2	0.007518796992481203
 이S	747	0.7963752665245203
E프캠	22	0.5116279069767442
프캠보	10	0.2564102564102564
캠보후	10	1.0
보후 	653	0.9315263908701854
후 안	108	0.084375
 안S	295	0.6973995271867612
E회청	6	0.020338983050847456
회청공	6	1.0
청공뒤	1	0.14285714285714285
공뒤정	1	0.2
뒤정확	2	0.3333333333333333
정확 	6	0.46153846153846156
확 안	1	0.024390243902439025
 안정	4	0.009456264775413711
안정수	4	0.0975609756097561
정수S	5	0.35714285714285715
E안 	732	0.6809302325581396
안 위	18	0.019758507135016465
 위동	1	0.010416666666666666
위동합	1	0.16666666666666666
동합S	8	0.6666666666666666
E원차	22	0.02603550295857988
원차간	1	0.041666666666666664
차간민	1	1.0
간민후	1	0.058823529411764705
민후표	1	1.0
후표발	7	0.5
표발 	26	0.38235294117647056
발 안	5	0.040983606557377046
 안종	1	0.002364066193853428
안종최	2	1.0
종최S	13	0.3939393939393939
E때 	955	0.6291172595520421
때 쟁	22	0.016897081413210446
 쟁전	29	0.6904761904761905
쟁전S	29	0.5686274509803921
E리총	87	0.24166666666666667
리총 	58	0.5523809523809524
총 정	23	0.10648148148148148
 정S	252	0.5915492957746479
E장부	73	0.038461538461538464
장부 	50	0.42735042735042733
부 왕	15	0.0423728813559322
 왕S	22	0.7333333333333333
E사인	20	0.029940119760479042
사인 	27	0.4090909090909091
인 설	1	0.006535947712418301
 설S	79	0.6370967741935484
E장원	344	0.18124341412012646
장원위	256	0.6900269541778976
원위 	229	0.5558252427184466
위 김	56	0.08045977011494253
E석주	51	0.31097560975609756
석주 	43	0.7678571428571429
주 후	13	0.02155887230514096
 후S	185	0.8114035087719298
E전의	2	0.002512562814070352
전의회	2	1.0
의회존	1	0.00641025641025641
회존로	1	1.0
존로유	2	1.0
로유 	1	0.5
유 국	2	0.02247191011235955
 국결	5	0.025252525252525252
국결S	5	0.8333333333333334
E장장	2	0.001053740779768177
장장화	1	0.5
장화립	1	0.04
화립시	1	1.0
립시 	1	1.0
시 시	3	0.004213483146067416
E원병	16	0.01893491124260355
원병 	14	0.3333333333333333
병 뒤	6	0.07142857142857142
E국당	72	0.45
국당 	65	0.7831325301204819
당 시	14	0.054474708171206226
E사제	3	0.004491017964071856
사제 	3	0.3333333333333333
제 뒤	2	0.023529411764705882
E팀 	635	0.5725879170423805
팀 표	265	0.31398104265402843
 표대	275	0.7879656160458453
표대S	278	0.24733096085409254
때 컵	18	0.013824884792626729
 컵드	28	0.32558139534883723
컵드월	35	0.9210526315789473
드월S	30	0.7692307692307693
E전막	18	0.022613065326633167
전막개	20	0.9090909090909091
막개 	19	0.36538461538461536
개 컵	3	0.015873015873015872
E속 	825	0.8056640625
속 롱	1	0.0010362694300518134
 롱장	2	0.15384615384615385
롱장S	2	0.6666666666666666
E대부	9	0.05084745762711865
대부수	2	0.09523809523809523
부수특	2	0.5
수특군	2	0.10526315789473684
특군 	1	0.3333333333333333
군 근	1	0.011111111111111112
 근최	21	0.3684210526315789
근최S	21	0.84
E련훈	20	0.5
련훈팀	5	0.11627906976744186
훈팀 	1	0.2
팀 드	1	0.001184834123222749
 드레	5	0.044642857142857144
드레S	5	1.0
E톱체	3	0.10344827586206896
톱체업	3	1.0
체업품	6	0.08955223880597014
업품부	4	0.6666666666666666
품부차	3	0.15
