S김 	839	0.04084315061824555
김 지	32	1.0
 지사	91	0.0980603448275862
지사E	90	0.30927835051546393
S섬 	29	0.0014117417972933503
섬 생	1	1.0
 생물	3	0.04225352112676056
생물E	2	0.025
S뒤 	1268	0.061727193067860966
뒤 고	9	1.0
 고개	1	0.013157894736842105
고개E	1	0.00847457627118644
S이용	7	0.10294117647058823
이용 	3	0.003667481662591687
용 기	1	0.5
 기업	63	0.3684210526315789
기업수	3	0.21428571428571427
업수E	3	0.021897810218978103
S군 	474	0.023074676273001655
군 관	47	1.0
 관계	156	0.6782608695652174
관계자	147	0.9545454545454546
계자E	145	0.5870445344129555
S다음	696	0.9145860709592641
다음 	701	0.9589603283173734
음 달	409	1.0
 달E	487	0.03556042351223074
S시 	351	0.017086943822412617
시 지	2	0.25
 지방	7	0.06930693069306931
지방세	1	0.5
방세과	1	0.5
세과세	2	1.0
과세표	1	0.16666666666666666
세표준	1	1.0
표준심	1	0.5
준심의	1	1.0
심의위	3	0.3333333333333333
의위원	4	0.5
위원회	79	0.9634146341463414
원회E	46	0.08679245283018867
S도시	8	0.044444444444444446
도시 	8	0.08
시 계	1	1.0
 계획	8	0.6153846153846154
계획세	1	1.0
획세E	1	0.07142857142857142
S세 	36	0.0017525070587089864
세 부	32	1.0
 부담	35	0.4430379746835443
부담E	26	0.08783783783783784
S정보	18	0.21686746987951808
정보 	15	0.048701298701298704
보 통	9	1.0
 통신	26	0.174496644295302
통신망	6	1.0
신망법	6	0.8571428571428571
망법E	3	0.15789473684210525
S서 	65	0.003164248856002337
서 판	4	1.0
 판사	22	0.023706896551724137
판사E	32	0.3950617283950617
S전 	360	0.017525070587089863
전 선	3	0.75
 선거	66	0.6
선거법	2	1.0
거법합	1	1.0
법합의	2	0.6666666666666666
합의E	16	0.2807017543859649
S달 	45	0.002190633823386233
달 전	7	0.875
 전여	2	0.0625
전여야	1	0.3333333333333333
여야합	1	1.0
야합의	1	0.25
S이 	747	0.036364521468211466
이 공	2	0.3333333333333333
 공보	3	0.0038412291933418692
공보단	1	1.0
보단장	1	0.5
단장E	21	0.25301204819277107
S안 	295	0.014360821731087528
안 후	108	1.0
 후보	653	0.8361075544174136
후보캠	10	0.9090909090909091
보캠프	10	0.9090909090909091
캠프E	22	1.0
S수정	5	0.02358490566037736
수정안	4	0.5
정안 	4	0.012987012987012988
안 확	1	0.5
 확정	6	0.016172506738544475
확정뒤	2	0.6666666666666666
정뒤공	1	0.125
뒤공청	1	0.3333333333333333
공청회	6	0.8571428571428571
청회E	6	0.0821917808219178
S합동	8	0.058823529411764705
합동위	1	1.0
동위 	1	0.005681818181818182
위 안	18	0.9473684210526315
 안E	732	0.053450164293537786
S최종	13	0.22807017543859648
최종안	2	1.0
종안 	1	0.023255813953488372
안 발	5	1.0
 발표	26	0.03719599427753934
발표후	7	0.3333333333333333
표후민	1	0.5
후민간	1	0.125
민간차	1	0.5
간차원	1	1.0
차원E	22	0.16923076923076924
S전쟁	29	0.6304347826086957
전쟁 	29	0.10469314079422383
쟁 때	22	1.0
 때E	955	0.06973347937203359
S정 	252	0.012267549410962905
정 총	23	1.0
 총리	58	0.17791411042944785
총리E	87	0.35802469135802467
S왕 	22	0.001070976535877714
왕 부	15	1.0
 부장	50	0.039936102236421724
부장E	73	0.24662162162162163
S설 	79	0.003845779378833609
설 인	1	0.5
 인사	27	0.029094827586206896
인사E	20	0.1282051282051282
김 위	56	1.0
 위원	229	0.2575928008998875
위원장	256	0.9846153846153847
원장E	344	0.6490566037735849
S후 	185	0.009005939051698959
후 주	13	0.8125
 주석	43	0.2670807453416149
주석E	51	0.2015810276679842
S결국	5	0.02403846153846154
결국 	5	0.07462686567164178
국 유	2	0.6666666666666666
 유로	1	0.01098901098901099
유로존	2	1.0
로존회	1	1.0
존회의	1	1.0
회의전	2	0.16666666666666666
의전E	2	0.0024937655860349127
시 시	3	0.75
 시립	1	0.02857142857142857
시립화	1	0.3333333333333333
립화장	1	1.0
화장장	1	0.25
장장E	2	0.0064516129032258064
뒤 병	6	1.0
 병원	14	0.015748031496062992
병원E	16	0.34782608695652173
시 당	14	0.8235294117647058
 당국	65	0.4012345679012346
당국E	72	0.6050420168067226
뒤 제	2	0.5
 제사	3	0.003232758620689655
제사E	3	0.02112676056338028
S대표	278	0.9205298013245033
대표 	275	0.44788273615635177
표 팀	265	1.0
 팀E	635	0.04636728733114275
S월드	30	0.379746835443038
월드컵	35	1.0
드컵 	28	0.6511627906976745
컵 때	18	1.0
컵 개	3	1.0
 개막	19	0.41304347826086957
개막전	20	0.6896551724137931
막전E	18	0.27692307692307694
S장롱	2	0.5
장롱 	2	0.023809523809523808
롱 속	1	1.0
 속E	825	0.060240963855421686
S최근	21	0.3620689655172414
최근 	21	0.25
근 군	1	1.0
 군특	1	0.14285714285714285
군특수	2	0.15384615384615385
특수부	2	1.0
수부대	2	0.14285714285714285
부대E	9	0.030405405405405407
S레드	5	0.06329113924050633
레드 	5	0.11904761904761904
드 팀	1	1.0
 팀훈	1	0.3333333333333333
팀훈련	5	1.0
훈련E	20	0.8333333333333334
S세계	48	0.4485981308411215
세계 	48	0.5
계 자	1	0.2
 자동	18	0.14754098360655737
자동차	22	1.0
동차부	3	0.6
차부품	3	0.75
부품업	4	0.5714285714285714
품업체	6	1.0
업체톱	3	1.0
체톱E	3	0.030927835051546393
S글로	26	0.2
글로벌	30	1.0
로벌 	26	0.40625
벌 자	3	1.0
벌 빅	1	1.0
 빅E	10	0.0007301935012778386
S포용	1	0.014705882352941176
